Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk61.wav,16000,220500,13.78,93.495056,-355.40234,-16.53063,-5.6530323,-16.032852172851562,5.0748066902160645,7250.609978374954,2100.0329990735204,4370.42386322234,3914.0300214696936,3500.1857052451965,5510.862481876546,3586.8998299236014,1890.95576667095,2794.1438545211836,2873.835274231836,2597.1596826302543,3006.7467950300756,0.70361328125,0.08203125,0.3009137996664733,0.24853515625,0.179443359375,0.4267578125
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk62.wav,16000,220500,13.78,100.61242,-285.14688,-11.499477,-5.530624,-17.542880058288574,7.193312644958496,6828.421996540171,2156.2974536603465,4011.0016035068825,3725.1845569602942,3232.036792380699,4404.089019083352,3617.527447201922,2005.6860373939883,2823.104961750512,2858.297561568135,2678.1122575575455,3019.2085935259906,0.6201171875,0.07470703125,0.26841420751160094,0.236328125,0.164794921875,0.327392578125
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk63.wav,16000,220500,13.78,97.52272,-273.52097,-11.926335,-4.7114167,-15.773394584655762,5.702078819274902,6522.845399709249,2440.1727930775833,4018.1076235231185,3924.97776114715,3225.8193939313805,4536.6688993481785,3544.080410883404,2200.674070621549,2859.944062658091,2880.6124134568536,2713.4646804502745,3036.3993379319213,0.5830078125,0.056640625,0.27531132178074247,0.27490234375,0.1884765625,0.338623046875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk64.wav,16000,220500,13.78,105.04901,-317.29578,-12.938678,-3.6097217,-14.66553783416748,7.258504867553711,6650.423698895557,2081.854818288249,4056.073803130063,4054.8303718652423,3365.4435209114345,4642.300261991002,3522.0016745998287,1788.7697868043624,2762.923662645009,2780.8991584348814,2601.7126578625885,2942.9389205996977,0.556640625,0.0673828125,0.282253752175174,0.28076171875,0.197265625,0.366943359375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk65.wav,16000,220500,13.78,108.69739,-277.10043,-13.080496,-4.937857,-16.13054370880127,5.184821844100952,6218.624209956098,2181.5455823956513,4187.582517162824,4195.776707127292,3471.170867443624,4894.318768475007,3488.9116684118203,2022.609156187933,2803.4686287071463,2816.406088496377,2658.2223034753993,2988.6528369676153,0.52978515625,0.05615234375,0.29978316234048724,0.2978515625,0.216552734375,0.38916015625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk66.wav,16000,220500,13.78,204.37895,-500.83185,-20.309923,-6.5431905,-16.627649307250977,4.936569690704346,6366.291378065708,553.8687554890623,2850.0601268403775,2679.663973749084,711.4391514782484,4419.184495603276,3462.2947077730114,831.5287578619451,2053.4851420450477,2234.2487963769204,1161.9501136381314,2760.90745032565,0.5595703125,0.0234375,0.1998928273636891,0.14794921875,0.037353515625,0.3291015625
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk67.wav,16000,220500,13.78,126.35399,-349.1377,-14.2477045,-4.8827906,-17.41609001159668,6.721437931060791,7497.767175275628,1613.1330845973569,4700.401331131975,4539.574267115727,3467.3979904416647,6076.260076376457,3643.4152981765383,1782.159395402028,2850.685820033983,2964.5024819174023,2556.852678032096,3177.796111164157,0.73681640625,0.0712890625,0.3757477160672854,0.3720703125,0.2001953125,0.529296875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk68.wav,16000,220500,13.78,142.42316,-504.13373,-21.742842,-8.325383,-22.4887638092041,3.025317430496216,7194.590387332596,1188.6316360524156,4035.2583778754197,3914.7812520992898,2633.4661532811906,5243.029197119955,3597.902978660783,1489.8059818799215,2575.1240708683713,2632.859557294097,2194.1287986584057,2959.485436404834,0.669921875,0.0400390625,0.3006577635585847,0.26806640625,0.15380859375,0.419921875
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk69.wav,16000,220500,13.78,153.3368,-433.34528,-16.84186,-9.018218,-24.098822593688965,2.3081644773483276,5608.885088891349,1456.650669550786,3076.656876336236,2822.5091090040987,2281.752924720654,3755.214759806386,3017.8904482331113,1472.408601996266,2139.7282929131716,2144.440859331947,1848.7324330406864,2435.8343792115697,0.470703125,0.06494140625,0.2138694533062645,0.1884765625,0.150146484375,0.267333984375
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk70.wav,16000,220500,13.78,133.69907,-255.7687,-14.010226,-9.287842,-20.625545501708984,0.9348761439323425,6611.22312871459,1566.570061619563,3356.2260207632994,3016.543937743075,2570.2092915218227,4101.035745636518,3496.630250621366,1553.7815785210348,2535.563233083343,2619.3059443643024,2126.1787880675665,2872.1849288848703,0.5517578125,0.0634765625,0.22110077399941996,0.18994140625,0.154052734375,0.280517578125
