Raw_wer,Pre_Processed_wer,Randomy_wer
0.95,0.5882352941176471,0.5
0.9583333333333334,0.3333333333333333,0.34782608695652173
1.0,0.625,0.5294117647058824
0.9629629629629629,0.8888888888888888,0.5172413793103449
0.8918918918918919,0.3870967741935484,0.4166666666666667
1.0,1.2222222222222223,0.5
1.0,0.47058823529411764,0.5263157894736842
0.96875,0.5172413793103449,0.4117647058823529
0.9583333333333334,0.5454545454545454,0.5238095238095238
1.037037037037037,0.6086956521739131,0.40625
1.0,0.40625,0.4
1.0,0.8333333333333334,0.5483870967741935
0.90625,1.0,0.36666666666666664
0.9473684210526315,0.5483870967741935,0.40540540540540543
0.9736842105263158,0.8928571428571429,0.5
0.9545454545454546,0.38095238095238093,0.38095238095238093
