Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk197.wav,16000,220500,13.78,99.58568,-403.71423,-24.538645,-8.668453,-25.165940284729004,4.393796443939209,7164.171072904342,1668.107760370607,4229.343325699037,4110.641500324879,3110.679587624585,5014.846125028316,3503.7765627259228,1852.3225625411344,2818.7134775950685,2906.174197269842,2555.020314133614,3060.56538390194,0.67138671875,0.0634765625,0.313097039950696,0.27490234375,0.1669921875,0.425048828125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk198.wav,16000,220500,13.78,120.90701,-382.30807,-21.073309,-10.875614,-26.95646095275879,3.2440810203552246,7235.215057303234,1560.2954263525737,4111.038475689971,3945.33465908626,2948.916214960132,4992.362780808953,3408.1426573576314,1736.865138409372,2738.7237917083585,2837.450662664767,2436.771891476719,3039.117404890164,0.671875,0.06787109375,0.2997083907337587,0.2568359375,0.171875,0.397705078125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk55.wav,16000,220500,13.78,133.93713,-360.53235,-15.151785,-6.54617,-18.80617904663086,3.8312153816223145,7294.44016232957,1714.8054345227588,4121.028677408843,3891.3684164598726,3165.638680681717,4859.62368062146,3690.756919169045,2221.702885063033,2950.9614951709564,2956.361585965837,2770.885917276636,3157.5328086440404,0.6689453125,0.07568359375,0.2686328578161253,0.22119140625,0.16162109375,0.327880859375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk203.wav,16000,220500,13.78,108.021935,-442.1512,-25.532505,-9.6183,-26.594435691833496,3.331718683242798,7050.251916481302,1994.8955057696344,4110.238894765719,3969.135728215455,2951.2137049365324,5083.65236931137,3562.4607822531234,1812.1808432828984,2876.0190328031617,2961.3280568505606,2639.03760045501,3128.695547485351,0.66796875,0.0751953125,0.29656798325116,0.26171875,0.158447265625,0.413330078125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk131.wav,16000,220500,13.78,96.15416,-440.32916,-28.660023,-16.819866,-32.283966064453125,-3.258467674255371,7043.31794294806,1903.8911286973369,4150.368285474161,4009.704593503513,2993.2366904622204,5157.057680824251,3418.0026034661573,1687.7137176384467,2677.808004577895,2695.2586715768152,2472.843876867978,2906.8566179641184,0.67041015625,0.04345703125,0.303163745287123,0.28466796875,0.140380859375,0.4248046875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk207.wav,16000,220500,13.78,105.68715,-337.61417,-19.70815,-8.764883,-23.649428367614743,5.208800792694092,7076.874252844455,1886.5407254851305,4051.008069291889,4114.308269261311,2925.5996517537365,4699.803661421378,3656.544824788357,1720.7631357243788,2759.280575491352,2898.811941811739,2463.547711900625,3023.0942697028686,0.65283203125,0.07568359375,0.2948425717807424,0.29443359375,0.163818359375,0.393798828125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk208.wav,16000,220500,13.78,118.8237,-291.90414,-17.245201,-7.7748384,-21.146193504333496,4.100661277770996,7078.785795234763,1661.3485197641555,4078.636902268231,3932.5693259690943,3051.8930065006484,4888.811675936234,3405.0618801356363,1732.8903417688812,2816.792440041293,2920.3823278948707,2645.974782832799,3036.5493725269607,0.65478515625,0.08935546875,0.297801714762181,0.2607421875,0.166748046875,0.40771484375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk209.wav,16000,220500,13.78,107.877014,-348.34958,-16.859425,-8.327826,-23.577497482299805,5.205706596374512,7086.81803766045,1836.5340593348087,4187.842083766033,4021.568697682175,2990.977481438053,5167.653446003958,3365.0249326682087,1660.2357013008948,2751.005506631896,2846.8447721681305,2501.261257262849,3033.564117979856,0.66015625,0.078125,0.3112198194605568,0.2802734375,0.1669921875,0.429931640625,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video2/chunk32.wav,16000,220500,13.78,103.89552,-314.82355,-22.733261,-9.902031,-24.300338745117188,-0.9515234231948853,6862.2330684132485,1886.881382116804,4145.926435343588,4254.974924648468,3120.604286064454,5061.465827984624,3193.909491126537,1695.1577108188185,2592.170829173251,2624.6944368044897,2240.7466671019934,2990.5903208450145,0.57470703125,0.0908203125,0.3158228048868909,0.30517578125,0.217041015625,0.3857421875,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video5/chunk91.wav,16000,220500,13.78,112.359314,-408.1969,-30.909504,-11.005529,-23.73413753509521,-3.94533634185791,7363.241557738553,1700.0897412577356,3949.562210367232,4253.111849451585,2967.44157644356,4809.609532343369,3326.303390714416,1790.0346154711735,2794.9455301840712,2919.9254046042765,2581.522096040605,3031.507915498001,0.61767578125,0.0419921875,0.293999691850348,0.30322265625,0.178466796875,0.396240234375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk237.wav,16000,220500,13.78,96.05537,-346.6133,-17.223993,-8.960516,-24.61733341217041,4.340490102767944,6875.998134398479,1761.248272887659,4154.818539253418,4080.911245144736,3105.3198628913788,5159.373209910536,3449.024478144397,1695.761576532945,2759.6983970424176,2843.518767329607,2541.128870422347,2980.411661636981,0.6416015625,0.06787109375,0.3071685578596287,0.2802734375,0.163818359375,0.434814453125,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk229.wav,16000,220500,13.78,103.309784,-373.1078,-21.726103,-8.156582,-24.59820556640625,5.321587800979614,7039.783882620002,1903.3457639971664,4039.343838653216,3840.159321547612,3011.322600485799,4922.000307361862,3462.128956399157,1881.5631161526708,2858.388370483683,2921.2156543698816,2647.606866289961,3101.6019198297736,0.65283203125,0.0556640625,0.2760443101073085,0.24072265625,0.161376953125,0.364990234375,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk221.wav,16000,220500,13.78,100.614815,-366.38635,-15.686434,-10.321209,-24.02884006500244,4.138566732406616,7131.336469282152,1995.8954335198223,4081.7792869675327,3859.075400086409,3085.885203494998,4958.796026653725,3560.1093986912565,1872.4923849850152,2819.950246371774,2871.206682997684,2648.7651203839387,3021.86932831934,0.65966796875,0.0625,0.2907969746954756,0.25048828125,0.15380859375,0.402587890625,9
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video6/chunk261.wav,16000,220500,13.78,104.63378,-322.37604,-17.261728,-10.07481,-26.54924488067627,4.449866771697998,7069.887122963988,1653.9287454680311,4130.106785200558,3891.587976122498,3074.7599303635984,5121.3669720734415,3455.0724310216656,1777.661004484296,2830.7486538193425,2886.21251560333,2681.529947489753,3073.233439089532,0.68994140625,0.06787109375,0.299266558512181,0.26611328125,0.16650390625,0.410400390625,9
