Audio,Length,Duration,Sample_Rate,MFCC_max,MFCC_min,MFCC_mean,MFCC_median,MFCC_q1,MFCC_q3,spectral_centroid_max,spectral_centroid_min,spectral_centroid_mean,spectral_centroid_median,spectral_centroid_q1,spectral_centroid_q3,spectral_bandwidth_max,spectral_bandwidth_min,spectral_bandwidth_mean,spectral_bandwidth_median,spectral_bandwidth_q1,spectral_bandwidth_q3,zcr_max,zcr_min,zcr_mean,zcr_median,zcr_q1,zcr_q3,cluster,selection_model_y
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk51.wav,220500,10.0,22050,224.83716,-677.6094,-26.032824,-6.772168,-20.742694854736328,8.985696792602539,6359.92579724332,391.4318758293999,1673.6859385938135,1131.8403585180497,873.2892474565161,2262.1407640477523,3565.0193426002147,713.761749067394,1894.916110438582,1583.369347385026,1257.453562209998,2552.6268068430936,0.53857421875,0.00927734375,0.0876651772766821,0.05126953125,0.033203125,0.10693359375,2,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video9/chunk52.wav,220500,10.0,22050,237.9913,-651.17017,-27.0257,-5.6938057,-18.79817008972168,8.642427444458008,5868.462156591439,451.4729931032591,1804.339140750196,1137.3961347326913,839.2777076913632,2661.500403730649,3784.7059593732392,707.9805633561698,1913.219134477449,1692.817646670274,1196.065830037091,2629.658031049018,0.53857421875,0.009765625,0.0980380383555684,0.0498046875,0.031005859375,0.150146484375,2,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk52.wav,220500,10.0,22050,203.57863,-452.25726,-16.476694,-6.657045,-15.61628246307373,7.536944389343262,5627.330367795184,606.2688466185455,1557.5874129883202,1143.7224483567363,853.964467148513,1708.6868226033212,3225.3922267292423,952.2779282002566,1788.4558991601375,1677.6928066308103,1382.1767260287097,2139.2394963777106,0.48681640625,0.013671875,0.0733452816850348,0.0390625,0.033203125,0.066650390625,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk57.wav,220500,10.0,22050,227.36908,-487.38025,-12.946884,0.51086175,-9.937389373779297,15.578099250793455,5531.982216098104,489.66104756236456,1466.312577993112,1146.7664984444978,774.4450108991186,1868.9290239199968,3493.3918872121744,782.0178280861194,1858.3654091905748,1767.9113351781928,1368.9445252119217,2346.4593394979333,0.4658203125,0.015625,0.0637971740864269,0.041015625,0.0322265625,0.07177734375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video8/chunk107.wav,220500,10.0,22050,190.54443,-473.6767,-24.656666,-12.077976,-27.707687377929688,0.6052013039588928,5423.482381700223,644.2731953350366,1650.0785265753937,1402.3302328029738,1122.8556614594315,1790.8332216076788,3608.073883332058,1010.248593620579,1924.6935624891644,1889.936044806268,1537.2697075429828,2200.973806320737,0.44140625,0.021484375,0.0829183131525522,0.05908203125,0.0458984375,0.093505859375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk104.wav,220500,10.0,22050,203.03488,-438.67426,-13.033034,0.5120459,-9.626927852630615,12.307092666625977,5352.662463585754,478.1227990495784,1393.3406557027913,1170.3845369318271,879.4380567415258,1509.008832833665,3646.0084148264928,922.5056355819144,1838.9304646983,1738.2649926667186,1441.3308616990837,2056.792062504862,0.36865234375,0.0166015625,0.0517600783062645,0.0361328125,0.02587890625,0.0556640625,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk38.wav,220500,10.0,22050,198.76564,-441.31015,-6.37068,2.596086,-8.58765172958374,16.880840301513672,5534.056082122973,489.8674383792968,1592.4477739355443,1224.7940511215577,927.654530163606,1548.7564049952068,3597.237152716974,1018.42142527277,1913.3996300491144,1842.7400726794128,1550.2136944983308,2192.300689796426,0.46630859375,0.01025390625,0.0693835194315545,0.0380859375,0.02880859375,0.05859375,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video0/chunk51.wav,220500,10.0,22050,211.98459,-418.86584,-13.53734,-5.08397,-17.034815788269043,12.19124174118042,5415.998850408286,386.2680387737328,1534.8910112438034,1062.6529867023014,782.5800957292811,1608.544720803302,3849.330886121173,784.3137873767279,1685.9853866479464,1499.8187300286131,1188.899883470569,2076.707338878735,0.43212890625,0.0185546875,0.0731810107308584,0.041015625,0.0322265625,0.067138671875,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video1/chunk6.wav,220500,10.0,22050,198.70645,-502.9278,-14.669492,0.9447881,-8.465184688568115,12.039077758789062,5562.442235792481,694.6816130912302,1488.789973666529,1263.7909935852522,1055.0196900870617,1600.275188695555,3633.570895132084,939.3868079998838,1894.192307926252,1820.5096230296847,1539.108459861813,2209.826916725073,0.3779296875,0.01318359375,0.0511018615864269,0.03857421875,0.026611328125,0.05810546875,3,Wav2Vec50_Model
/content/gdrive/My Drive/Meta_Asr/Data_Annotation/Audio_Data/chunks_Audio_Wav_video13/chunk81.wav,220500,10.0,22050,236.5926,-494.05573,-15.397034,-5.675997,-16.855900764465332,9.495795249938965,4849.702257651663,529.9168800745557,1519.780653843634,1269.0307925398586,959.4102472042342,1679.6460673162728,3199.499401538026,840.6518553369998,1873.4937687061847,1815.5002564110728,1482.946839405667,2203.765206850069,0.3916015625,0.02099609375,0.0695489232888631,0.052734375,0.04248046875,0.0693359375,3,Wav2Vec50_Model
